product_name,category,product_url,price,original_price,sale_price,image_url,product_type
"Mũi Khoan Kim Cương Edo 0,9mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-kim-cuong-edo-09mm/,"550,000 ",,,https://tinnha.vn/wp-content/uploads/2024/03/E165-014LC-1-1.jpg,simple
Trâm Điều Trị Lại RT File,Nội nha,https://tinnha.vn/shop/noi-nha/tram-dieu-tri-lai-rt-file/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2023/07/tram-dieu-tri-lai-RT-file-01-1-1-2.png,simple
"Mũi Khoan Mài Cùi 2,1mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-mai-cui-21mm/,"390,000  – 440,000",,,https://tinnha.vn/wp-content/uploads/2024/03/198-021C-1-1.jpg,configurable
Trâm Máy ProTaper MTF,Nội nha,https://tinnha.vn/shop/noi-nha/tram-noi-nha/tram-may-protaper-mtf/,"290,000 ",,,https://tinnha.vn/wp-content/uploads/2023/07/tram-may-protaper-mtf-01-1-1.png,simple
Mũi Khoan Đầu Tròn 1mm,Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-neodiamond/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/001-010M-1-1-1.jpg,simple
Mặt Nạ Bảo Hộ (Face Shield),Vật liệu tiêu hao,https://tinnha.vn/shop/vat-lieu-tieu-hao/mat-na-bao-ho-face-shield/,,"18,000 ₫","14,400 ₫",https://tinnha.vn/wp-content/uploads/2023/06/Mat-na-bao-ho-01.png,simple
Cone Chính Có Vạch,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/cone-chinh-co-vach/,"32,500  – 40,000",,,https://tinnha.vn/wp-content/uploads/2024/06/cone-chính-có-vạch.jpg,configurable
Thun Clear Hollow Thread,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/thun-clear-hollow-thread-030/,,"220,000 ₫","123,200 ₫",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha-grey.jpg,simple
Cone Giấy Có Vạch,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/cone-giay-co-vach/,,"59,000 ₫","34,200 ₫",https://tinnha.vn/wp-content/uploads/2024/06/cone-giấy-có-vạch.jpg,simple
Màng PTFE (Bio-Mem),Vật liệu cấy ghép,https://tinnha.vn/shop/vat-lieu-cay-ghep/mang-ptfe/,"1,660,000  – 4,060,000",,,https://tinnha.vn/wp-content/uploads/2023/06/mang-PTFE-01-1.jpg,configurable
Mắc Cài Agility,Chỉnh nha,https://tinnha.vn/shop/chinh-nha/mac-cai-agility/,"3,290,000 ",,,https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy-5.png,simple
Kẹp kim (Ms: 2D11),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-kim-ms-2d11/,"119,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2D11_Kep-kim-04.png,simple
"Mũi Khoan Kim Cương Edo 1,5mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-kim-cuong-edo-15mm/,"550,000 ",,,https://tinnha.vn/wp-content/uploads/2024/03/E164-015C-1-1.jpg,simple
Banh môi (Ms: 2901),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/banh-moi-ms-2901/,"219,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN6_Banh-moi-18-1-1-1.png,simple
"Mũi Khoan Đầu Tròn 1,6mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-dau-tron-16mm/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/001-016C-1-1-1.jpg,simple
Cây Cắt Xương (MS: 2419- 2420),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/cay-cat-xuong-ms-2419-2420/,"859,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN1_Cay-cat-xuong-1-1.png,simple
Implant Prosthetic Driver Kit,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/implant-prosthetic-driver-kit/,,"8,100,000 ₫","4,860,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/Bộ-kit-vặn-phục-hình.jpg,simple
Cây ấn dây (Ms: 6B03-6B04),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/cay-an-day-ms-6b03-6b04/,"79,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN-4a_Cay-an-day-1-1.png,simple
"Mũi Khoan Mài Cùi 2,5mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-tru-thuon-dau-phang-25mm/,"440,000  – 550,000",,,https://tinnha.vn/wp-content/uploads/2024/03/197-025C-1-1.jpg,configurable
Dụng cụ phục hồi (Ms: 4144),Dụng cụ phục hồi,https://tinnha.vn/shop/dung-cu/dung-cu-phuc-hoi/dung-cu-phuc-hoi-ms-4144/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/4144_dung-cu-phuc-hoi-1-1.png,simple
Kẹp phẫu tích có mấu (Ms: 2F03-2F13),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-phau-tich-co-mau-ms-2f03-2f13/,"79,000  – 419,000",,,https://tinnha.vn/wp-content/uploads/2024/04/2F03-2F13_Kep-phau-tich-co-mau-04.png,configurable
Khâu,"Khâu, ống",https://tinnha.vn/shop/chinh-nha/khau-ong/khau/,"150,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/khau.jpg,simple
Thiết Kế Cải Tiến Từ Mega ISQ (Mega ISQ IITM),Thiết bị,https://tinnha.vn/shop/thiet-bi/thiet-bi-khac/thiet-ke-cai-tien-tu-mega-isq-mega-isq-iitm/,"65,000,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/bf47b03b5dbd90e3c9ac.jpg,simple
Kéo Cắt Phẫu Thuật ( Ms: 2126),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/keo-cat-phau-thuat-ms-2126/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN1b_Keo-cat-phau-thuat-07-1.png,simple
Kềm bẻ dây Young (Ms: 6714),Kềm bẻ dây Young,https://tinnha.vn/shop/dung-cu/kem-be-day-young/kem-be-day-young-ms-6714/,"379,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/6714_Kem-be-day-cung-young.png,simple
Bộ Nâng Xoang Kín TOCA KIT,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/bo-nang-xoang-kin-toca-kit/,,"20,500,000 ₫","12,300,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/bộ-nâng-xoang-kín-toca.jpg,simple
Thun chuỗi Dyna-LinkTM,Thun,https://tinnha.vn/shop/chinh-nha/thun/thun-chuoi-dyna-linktm/,"375,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/thun-chuoi.jpg,simple
Cán dao (Ms: 2202-2203),"Dao, cán dao",https://tinnha.vn/shop/dung-cu/dao-can-dao/can-dao-ms-2202-2203/,"39,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2202-2203_Can-dao-10.png,simple
"Mũi Khoan Hình Quả Trứng 2,3mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-hinh-qua-trung-23mm/,"390,000  – 550,000",,,https://tinnha.vn/wp-content/uploads/2024/03/277-023M-1-1.jpg,configurable
Sò Đánh Bóng (Prophy Paste Medium Grit MIXED FLAVORS),Vật liệu tiêu hao,https://tinnha.vn/shop/vat-lieu-tieu-hao/so-danh-bong-prophy-paste/,,"190,000 ₫","152,000 ₫",https://tinnha.vn/wp-content/uploads/2023/06/So-danh-bong-01.png,simple
Kẹp kim (Ms: 2D15),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-kim-ms-2d15/,"119,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2D15_Kep-kim-15.png,simple
